source,geo_id,geo_level,country_code,metric,x,n,share,lo,hi
claude_ai,MZ,country,MZ,success_rate,156.0,225.0,0.6933333333333334,0.63025591726052,0.7499197151419803
claude_ai,MZ,country,MZ,work_share,96.0,225.0,0.4266666666666667,0.36380383051305476,0.4919916192653072
claude_ai,NG,country,NG,automation_share,3638.0,7497.0,0.4852607709750567,0.4739578043227007,0.4965788351925238
claude_ai,NG,country,NG,coursework_share,1528.0,7702.0,0.19839002856400934,0.18963507264763543,0.2074457082498074
claude_ai,NG,country,NG,success_rate,5575.0,7704.0,0.72365005192108,0.7135544425751557,0.7335227262135751
claude_ai,NG,country,NG,work_share,3413.0,7702.0,0.44313165411581407,0.43206850931949997,0.45425150016525245
claude_ai,NG-ED,subregion,NG,automation_share,124.0,247.0,0.5020242914979757,0.4401172101476941,0.5638693694308128
claude_ai,NG-ED,subregion,NG,coursework_share,59.0,258.0,0.22868217054263565,0.18163637763752125,0.28368922379479505
claude_ai,NG-ED,subregion,NG,success_rate,198.0,258.0,0.7674418604651163,0.7121967212936339,0.8148394715802257
claude_ai,NG-ED,subregion,NG,work_share,94.0,258.0,0.3643410852713178,0.30800624503311874,0.42465655568303934
claude_ai,NG-FC,subregion,NG,automation_share,477.0,968.0,0.4927685950413223,0.46136437885971376,0.5242299813734765
claude_ai,NG-FC,subregion,NG,coursework_share,213.0,1001.0,0.2127872127872128,0.18855529088213474,0.23921521543448276
claude_ai,NG-FC,subregion,NG,success_rate,710.0,1001.0,0.7092907092907093,0.680402292285514,0.7365788518072466
claude_ai,NG-FC,subregion,NG,work_share,442.0,1001.0,0.44155844155844154,0.41107739025227846,0.472486347554755
claude_ai,NG-LA,subregion,NG,automation_share,2172.0,4492.0,0.4835262689225289,0.46893254155806297,0.49814814918513406
claude_ai,NG-LA,subregion,NG,coursework_share,827.0,4616.0,0.17915944540727902,0.16836463346299965,0.19048784321065948
claude_ai,NG-LA,subregion,NG,success_rate,3344.0,4617.0,0.7242798353909465,0.7112070706724992,0.7369796838788795
claude_ai,NG-LA,subregion,NG,work_share,2175.0,4616.0,0.4711871750433276,0.4568168241975269,0.4856054441330583
claude_ai,NG-OY,subregion,NG,automation_share,283.0,589.0,0.48047538200339557,0.44038324808509294,0.5208205540772385
claude_ai,NG-OY,subregion,NG,coursework_share,147.0,595.0,0.24705882352941178,0.2140987160613177,0.2832641925943269
claude_ai,NG-OY,subregion,NG,success_rate,440.0,595.0,0.7394957983193278,0.7027718176671507,0.7731470229745149
claude_ai,NG-OY,subregion,NG,work_share,245.0,595.0,0.4117647058823529,0.3729081674581751,0.45175331230542193
claude_ai,NG-RI,subregion,NG,automation_share,459.0,943.0,0.4867444326617179,0.45496097820338827,0.5186354501749171
claude_ai,NG-RI,subregion,NG,coursework_share,213.0,970.0,0.21958762886597938,0.19467000303601625,0.24671759018242917
claude_ai,NG-RI,subregion,NG,success_rate,695.0,970.0,0.7164948453608248,0.6873206076978067,0.7439610298908935
claude_ai,NG-RI,subregion,NG,work_share,363.0,970.0,0.37422680412371134,0.3443249053855251,0.4051210003962776
claude_ai,NL,country,NL,automation_share,3873.0,10022.0,0.38644981041708243,0.37696158851840383,0.39602505032895235
claude_ai,NL,country,NL,coursework_share,793.0,10294.0,0.07703516611618419,0.07204038412098966,0.08234552136817615
claude_ai,NL,country,NL,success_rate,7445.0,10296.0,0.7230963480963482,0.7143709574184639,0.7316553193351514
claude_ai,NL,country,NL,work_share,4716.0,10294.0,0.45813095006800075,0.44852323594718835,0.4677699026072054
claude_ai,NL-FL,subregion,NL,automation_share,150.0,386.0,0.38860103626943004,0.34129960586893743,0.4380979750972807
claude_ai,NL-FL,subregion,NL,coursework_share,28.0,400.0,0.07,0.048871304519740505,0.09930956639598486
claude_ai,NL-FL,subregion,NL,success_rate,287.0,400.0,0.7175,0.6714715471495262,0.7593904541896126
claude_ai,NL-FL,subregion,NL,work_share,191.0,400.0,0.4775,0.4289965818287493,0.5264314869982364
claude_ai,NL-GE,subregion,NL,automation_share,274.0,712.0,0.3848314606741573,0.34980069270270975,0.4210983441791926
claude_ai,NL-GE,subregion,NL,coursework_share,62.0,729.0,0.0850480109739369,0.0669096316497376,0.10753679715561407
claude_ai,NL-GE,subregion,NL,success_rate,519.0,729.0,0.7119341563786008,0.6780162260227929,0.7436301433972837
claude_ai,NL-GE,subregion,NL,work_share,356.0,729.0,0.4883401920438957,0.45221006872822883,0.5245925581968802
claude_ai,NL-GR,subregion,NL,automation_share,110.0,243.0,0.45267489711934156,0.39131117094121526,0.5155116660522251
claude_ai,NL-GR,subregion,NL,coursework_share,25.0,251.0,0.099601593625498,0.06837714610821179,0.14289762221846644
claude_ai,NL-GR,subregion,NL,success_rate,178.0,251.0,0.7091633466135459,0.6501617782201246,0.7618588651913123
claude_ai,NL-GR,subregion,NL,work_share,111.0,251.0,0.44223107569721115,0.3821177606478465,0.5040860616480424
claude_ai,NL-LI,subregion,NL,automation_share,133.0,318.0,0.41823899371069184,0.36531467228811754,0.47311516400402126
claude_ai,NL-LI,subregion,NL,coursework_share,46.0,325.0,0.14153846153846153,0.10781846110355296,0.18363371526342734
claude_ai,NL-LI,subregion,NL,success_rate,235.0,325.0,0.7230769230769231,0.6720353601646528,0.768906418491089
claude_ai,NL-LI,subregion,NL,work_share,154.0,325.0,0.47384615384615386,0.4201826467848937,0.5281207308899504
claude_ai,NL-NB,subregion,NL,automation_share,384.0,938.0,0.4093816631130064,0.3783451164076441,0.44115744113494054
claude_ai,NL-NB,subregion,NL,coursework_share,74.0,960.0,0.07708333333333334,0.06184586275436799,0.09569205633939182
claude_ai,NL-NB,subregion,NL,success_rate,695.0,960.0,0.7239583333333334,0.6948289649844835,0.7513024325397569
claude_ai,NL-NB,subregion,NL,work_share,434.0,960.0,0.45208333333333334,0.4208527540872354,0.4836958771401364
claude_ai,NL-NH,subregion,NL,automation_share,1186.0,3172.0,0.3738965952080706,0.35722071617250606,0.3908775517008035
claude_ai,NL-NH,subregion,NL,coursework_share,230.0,3253.0,0.07070396557024285,0.06239226289020703,0.08002841854545135
claude_ai,NL-NH,subregion,NL,success_rate,2332.0,3254.0,0.7166564228641672,0.7009248115964438,0.7318770778508514
claude_ai,NL-NH,subregion,NL,work_share,1504.0,3253.0,0.46234245312019673,0.44526331538688657,0.47951042859869747
claude_ai,NL-OV,subregion,NL,automation_share,160.0,370.0,0.43243243243243246,0.3829015573524753,0.4833519575051543
claude_ai,NL-OV,subregion,NL,coursework_share,39.0,399.0,0.09774436090225563,0.07232766219640983,0.13083308386357997
claude_ai,NL-OV,subregion,NL,success_rate,276.0,399.0,0.6917293233082706,0.6447694403054267,0.7350324470865406
claude_ai,NL-OV,subregion,NL,work_share,170.0,399.0,0.42606516290726815,0.3784749644912673,0.47506548416150346
claude_ai,NL-UT,subregion,NL,automation_share,329.0,825.0,0.3987878787878788,0.3659183272754313,0.43259564692663577
claude_ai,NL-UT,subregion,NL,coursework_share,74.0,850.0,0.08705882352941176,0.06991551685434941,0.10791793609523749
claude_ai,NL-UT,subregion,NL,success_rate,629.0,850.0,0.74,0.7094785367371307,0.7683618495827675
claude_ai,NL-UT,subregion,NL,work_share,402.0,850.0,0.47294117647058825,0.439573825761237,0.5065520130360294
claude_ai,NL-ZH,subregion,NL,automation_share,1033.0,2743.0,0.3765949690120306,0.3586465902964764,0.394888524360299
