geo_id,geo_level,conversations,population,share_of_known,per_100k,usage_index,usage_index_lo,usage_index_hi
MZ,country,225.0,34631766,0.00027936880034070576,0.6496925395026057,0.04626736098415515,0.04022175914889221,0.052312962819418087
NG,country,7704.0,232679478,0.009565587723665765,3.31099247179848,0.23578981532680196,0.2305245170766925,0.2410551135769114
NL,country,10296.0,17993485,0.012783916303590695,57.22071071835167,4.074929474490716,3.99621730166316,4.153641647318272
NO,country,2619.0,5572279,0.003251852835965815,47.0005181004038,3.3471062159010354,3.2189151329434273,3.4752972988586435
NP,country,1584.0,29651054,0.0019667563543985687,5.342137247465132,0.38043624857474434,0.36170096058520873,0.39917153656428
NZ,country,2739.0,5287500,0.003400849529480858,51.801418439716315,3.688998688943715,3.550843068964501,3.827154308922929
OM,country,359.0,5281538,0.0004457484414325039,6.797262464077699,0.48406188621205404,0.4339881801301511,0.534135592293957
PA,country,559.0,4515577,0.0006940762639575757,12.379370344033553,0.8815874612050213,0.8085045949014082,0.9546703275086342
PE,country,3354.0,34217848,0.004164457583745454,9.801902211968445,0.6980350248745837,0.6744111161099152,0.721658933639252
PH,country,9281.0,115843670,0.011523652604275956,8.011659161005516,0.570544225069971,0.5589364763281849,0.5821519738117572
PK,country,8699.0,251269164,0.010801018640727997,3.4620244925875583,0.24654544603077236,0.2413643887836081,0.2517265032779366
PL,country,9310.0,36559233,0.011559660138542092,25.46552330569955,1.8135079099680678,1.7766695162621504,1.8503463036739853
PR,country,587.0,3203295,0.0007288421591110857,18.32488109899338,1.304992496062744,1.1994213988761038,1.410563593249384
PS,country,259.0,5289152,0.00032158453016996796,4.89681521725978,0.34872297826155607,0.30625253884283765,0.3911934176802745
PT,country,4406.0,10694681,0.005470661930227332,41.19804975950194,2.9338878379692668,2.8472560392290527,3.020519636709481
PY,country,515.0,6929153,0.0006394441430020599,7.432365831725754,0.5292902903980118,0.4835765893366365,0.5750039914593871
QA,country,634.0,2857822,0.0007871991974044776,22.184726690465677,1.5798684696432168,1.4568890684322378,1.702847870854196
