source,geo_id,metric,parent_id,x,n,share,x_rest,n_rest,share_rest,diff,diff_lo,diff_hi
claude_ai,AZ,work_share,GLOBAL,314.0,657.0,0.4779299847792998,452029.0,999045.0,0.45246110035083503,0.02546888442846479,-0.012739761079063903,0.06367752993599349
claude_ai,BA,automation_share,GLOBAL,179.0,383.0,0.46736292428198434,441390.0,969127.0,0.45545114314223006,0.011911781139754274,-0.038066923137528595,0.06189048541703714
claude_ai,BA,coursework_share,GLOBAL,46.0,393.0,0.11704834605597965,124402.0,999309.0,0.12448802122266486,-0.007439675166685214,-0.039230437397269106,0.02435108706389868
claude_ai,BA,success_rate,GLOBAL,272.0,394.0,0.6903553299492385,699113.0,999606.0,0.6993885590922824,-0.00903322914304383,-0.05469579060234233,0.03662933231625467
claude_ai,BA,work_share,GLOBAL,197.0,393.0,0.5012722646310432,452146.0,999309.0,0.45245864892640814,0.048813615704635105,-0.0006303167463093742,0.09825754815557958
claude_ai,BD,automation_share,GLOBAL,1171.0,2346.0,0.49914748508098894,440398.0,967164.0,0.45534986827466695,0.04379761680632199,0.02354023391545702,0.06405499969718696
claude_ai,BD,coursework_share,GLOBAL,454.0,2446.0,0.1856091578086672,123994.0,997256.0,0.12433517572218167,0.061273982086485546,0.04585245895846929,0.0766955052145018
claude_ai,BD,success_rate,GLOBAL,1674.0,2447.0,0.6841029832447896,697711.0,997553.0,0.6994224868252614,-0.01531950358047185,-0.033760745057197616,0.0031217378962539177
claude_ai,BD,work_share,GLOBAL,982.0,2446.0,0.401471790678659,451361.0,997256.0,0.45260294247414906,-0.05113115179549005,-0.07058233941331794,-0.031679964177662154
claude_ai,BD-B,automation_share,BD,111.0,231.0,0.4805194805194805,1060.0,2115.0,0.5011820330969267,-0.020662552577446147,-0.08852529647969498,0.04720019132480269
claude_ai,BD-B,coursework_share,BD,63.0,254.0,0.24803149606299213,391.0,2192.0,0.17837591240875914,0.069655583654233,0.01417826613815152,0.12513290117031448
claude_ai,BD-B,success_rate,BD,173.0,254.0,0.6811023622047244,1501.0,2193.0,0.6844505243958048,-0.0033481621910803616,-0.06387412078768484,0.05717779640552412
claude_ai,BD-B,work_share,BD,75.0,254.0,0.2952755905511811,907.0,2192.0,0.4137773722627737,-0.11850178171159265,-0.17827064016813754,-0.058732923255047746
claude_ai,BD-C,automation_share,BD,871.0,1732.0,0.5028868360277137,300.0,614.0,0.48859934853420195,0.014287487493511719,-0.03173252065545216,0.060307495642475596
claude_ai,BD-C,coursework_share,BD,316.0,1803.0,0.1752634498058791,138.0,643.0,0.21461897356143078,-0.03935552375555168,-0.07561882799429057,-0.003092219516812794
claude_ai,BD-C,success_rate,BD,1230.0,1804.0,0.6818181818181818,444.0,643.0,0.6905132192846034,-0.00869503746642164,-0.05039340418991884,0.03300332925707556
claude_ai,BD-C,work_share,BD,767.0,1803.0,0.42540210759844704,215.0,643.0,0.3343701399688958,0.09103196762955124,0.04801412536010024,0.13404980989900223
claude_ai,BE,automation_share,GLOBAL,1952.0,4684.0,0.41673783091374894,439617.0,964826.0,0.4556438155688176,-0.03890598465506867,-0.05306014372925075,-0.024751825580886597
claude_ai,BE,coursework_share,GLOBAL,497.0,4810.0,0.10332640332640333,123951.0,994892.0,0.12458739240038115,-0.021260989073977818,-0.029887570452765418,-0.012634407695190216
claude_ai,BE,success_rate,GLOBAL,3460.0,4812.0,0.7190357439733999,695925.0,995188.0,0.6992899834001214,0.01974576057327848,0.007014125189851759,0.03247739595670521
claude_ai,BE,work_share,GLOBAL,2162.0,4810.0,0.4494802494802495,450181.0,994892.0,0.4524923308258585,-0.0030120813456089857,-0.017104120779892568,0.011079958088674596
claude_ai,BE-BRU,automation_share,BE,917.0,2227.0,0.4117647058823529,1035.0,2457.0,0.42124542124542125,-0.009480715363068326,-0.03774745386294749,0.01878602313681084
claude_ai,BE-BRU,coursework_share,BE,240.0,2284.0,0.10507880910683012,257.0,2526.0,0.10174188440221694,0.0033369247046131784,-0.01390128315190392,0.020575132561130277
claude_ai,BE-BRU,success_rate,BE,1636.0,2285.0,0.7159737417943107,1824.0,2527.0,0.7218045112781954,-0.0058307694838847235,-0.03126992939002407,0.019608390422254623
claude_ai,BE-BRU,work_share,BE,1010.0,2284.0,0.44220665499124345,1152.0,2526.0,0.45605700712589076,-0.013850352134647304,-0.04199536353731871,0.014294659268024108
claude_ai,BE-VLG,automation_share,BE,797.0,1912.0,0.4168410041841004,1155.0,2772.0,0.4166666666666667,0.00017433751743373138,-0.028552781899494468,0.02890145693436193
claude_ai,BE-VLG,coursework_share,BE,185.0,1966.0,0.09409969481180061,312.0,2844.0,0.10970464135021098,-0.015604946538410366,-0.03288208752743575,0.0016721944506150194
claude_ai,BE-VLG,success_rate,BE,1409.0,1967.0,0.7163192679206914,2051.0,2845.0,0.7209138840070298,-0.004594616086338377,-0.030450804261117275,0.02126157208844052
claude_ai,BE-VLG,work_share,BE,905.0,1966.0,0.46032553407934895,1257.0,2844.0,0.4419831223628692,0.018342411716479767,-0.010268348004673179,0.04695317143763271
claude_ai,BE-WAL,automation_share,BE,238.0,545.0,0.43669724770642204,1714.0,4139.0,0.4141096883305146,0.02258755937590745,-0.02167467319436174,0.06684979194617664
claude_ai,BE-WAL,coursework_share,BE,72.0,560.0,0.12857142857142856,425.0,4250.0,0.1,0.028571428571428553,-0.0005824996272167336,0.057725356770073843
